PERMNO,date,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd
92585,07/31/2015,ACWI,ISHARES TRUST,46428825,59.94000,0.001336,108600,-0.000762,0.002573
92585,08/03/2015,ACWI,ISHARES TRUST,46428825,59.75000,-0.003170,108600,-0.003685,-0.006868
92585,08/04/2015,ACWI,ISHARES TRUST,46428825,59.69000,-0.001004,108600,-0.001720,-0.000997
92585,08/05/2015,ACWI,ISHARES TRUST,46428825,59.94000,0.004188,108600,0.002562,-0.000447
92585,08/06/2015,ACWI,ISHARES TRUST,46428825,59.54000,-0.006673,108600,-0.007836,-0.006110
92585,08/07/2015,ACWI,ISHARES TRUST,46428825,59.44000,-0.001680,108600,-0.003287,-0.004490
92585,08/10/2015,ACWI,ISHARES TRUST,46428825,60.22000,0.013123,108600,0.013130,0.012896
92585,08/11/2015,ACWI,ISHARES TRUST,46428825,59.42000,-0.013285,108600,-0.009258,-0.008295
92585,08/12/2015,ACWI,ISHARES TRUST,46428825,59.21000,-0.003534,108600,0.000715,0.001231
92585,08/13/2015,ACWI,ISHARES TRUST,46428825,59.15000,-0.001013,108600,-0.002051,-0.003480
92585,08/14/2015,ACWI,ISHARES TRUST,46428825,59.29000,0.002367,108600,0.003787,0.002691
92585,08/17/2015,ACWI,ISHARES TRUST,46428825,59.31000,0.000337,108600,0.005738,0.003811
92585,08/18/2015,ACWI,ISHARES TRUST,46428825,59.03000,-0.004721,108600,-0.003508,-0.005701
92585,08/19/2015,ACWI,ISHARES TRUST,46428825,58.48000,-0.009317,108600,-0.008810,-0.007959
92585,08/20/2015,ACWI,ISHARES TRUST,46428825,57.19000,-0.022059,108600,-0.021653,-0.018724
92585,08/21/2015,ACWI,ISHARES TRUST,46428825,55.56000,-0.028501,108600,-0.028026,-0.015822
92585,08/24/2015,ACWI,ISHARES TRUST,46428825,53.46000,-0.037797,108200,-0.038570,-0.034965
92585,08/25/2015,ACWI,ISHARES TRUST,46428825,53.36000,-0.001871,108200,-0.010292,-0.000292
92585,08/26/2015,ACWI,ISHARES TRUST,46428825,55.17000,0.033920,108200,0.033789,0.015988
92585,08/27/2015,ACWI,ISHARES TRUST,46428825,56.35000,0.021388,109800,0.024380,0.023395
92585,08/28/2015,ACWI,ISHARES TRUST,46428825,56.30000,-0.000887,109800,0.002546,0.009621
92585,08/31/2015,ACWI,ISHARES TRUST,46428825,55.86000,-0.007815,111200,-0.007253,0.001211
92585,09/01/2015,ACWI,ISHARES TRUST,46428825,54.03000,-0.032761,111200,-0.028171,-0.020327
92585,09/02/2015,ACWI,ISHARES TRUST,46428825,54.98000,0.017583,111200,0.016358,0.008657
92585,09/03/2015,ACWI,ISHARES TRUST,46428825,55.09000,0.002001,111200,0.001847,0.002048
92585,09/04/2015,ACWI,ISHARES TRUST,46428825,54.05000,-0.018878,111200,-0.013753,-0.007377
92585,09/08/2015,ACWI,ISHARES TRUST,46428825,55.48000,0.026457,111200,0.023678,0.015953
92585,09/09/2015,ACWI,ISHARES TRUST,46428825,54.94000,-0.009733,111200,-0.012781,-0.007959
92585,09/10/2015,ACWI,ISHARES TRUST,46428825,55.31000,0.006735,111200,0.004394,0.002676
92585,09/11/2015,ACWI,ISHARES TRUST,46428825,55.42000,0.001989,111200,0.003421,0.000351
92585,09/14/2015,ACWI,ISHARES TRUST,46428825,55.15000,-0.004872,111200,-0.004218,-0.004764
92585,09/15/2015,ACWI,ISHARES TRUST,46428825,55.70000,0.009973,111200,0.011431,0.007206
92585,09/16/2015,ACWI,ISHARES TRUST,46428825,56.48000,0.014004,111200,0.009525,0.010281
92585,09/17/2015,ACWI,ISHARES TRUST,46428825,56.40000,-0.001416,111200,-0.000696,0.003943
92585,09/18/2015,ACWI,ISHARES TRUST,46428825,55.25000,-0.020390,111200,-0.015316,-0.005298
92585,09/21/2015,ACWI,ISHARES TRUST,46428825,55.41000,0.002896,111200,0.003278,-0.002813
92585,09/22/2015,ACWI,ISHARES TRUST,46428825,54.43000,-0.017686,111200,-0.013619,-0.013895
92585,09/23/2015,ACWI,ISHARES TRUST,46428825,54.18000,-0.004593,111200,-0.003506,-0.005814
92585,09/24/2015,ACWI,ISHARES TRUST,46428825,53.99000,-0.003507,111200,-0.003694,-0.002065
92585,09/25/2015,ACWI,ISHARES TRUST,46428825,54.13000,0.002593,111200,-0.002122,-0.009682
92585,09/28/2015,ACWI,ISHARES TRUST,46428825,52.85000,-0.023647,111200,-0.027038,-0.025942
92585,09/29/2015,ACWI,ISHARES TRUST,46428825,52.83000,-0.000378,111000,-0.000901,-0.006668
92585,09/30/2015,ACWI,ISHARES TRUST,46428825,53.94000,0.021011,111000,0.019429,0.014167
92585,10/01/2015,ACWI,ISHARES TRUST,46428825,54.06000,0.002225,110000,0.001947,-0.001711
92585,10/02/2015,ACWI,ISHARES TRUST,46428825,54.99000,0.017203,110000,0.015196,0.016163
92585,10/05/2015,ACWI,ISHARES TRUST,46428825,56.04000,0.019094,110000,0.018766,0.021302
92585,10/06/2015,ACWI,ISHARES TRUST,46428825,55.99000,-0.000892,110000,-0.003074,0.002251
92585,10/07/2015,ACWI,ISHARES TRUST,46428825,56.61000,0.011073,110000,0.009808,0.011846
92585,10/08/2015,ACWI,ISHARES TRUST,46428825,57.11000,0.008832,110000,0.008524,0.009250
92585,10/09/2015,ACWI,ISHARES TRUST,46428825,57.21000,0.001751,110000,0.001435,0.003570
92585,10/12/2015,ACWI,ISHARES TRUST,46428825,57.15000,-0.001049,110000,-0.000222,-0.002944
92585,10/13/2015,ACWI,ISHARES TRUST,46428825,56.57000,-0.010149,109200,-0.007790,-0.009085
92585,10/14/2015,ACWI,ISHARES TRUST,46428825,56.63000,0.001061,109200,-0.004291,-0.003049
92585,10/15/2015,ACWI,ISHARES TRUST,46428825,57.56000,0.016422,109200,0.014710,0.015938
92585,10/16/2015,ACWI,ISHARES TRUST,46428825,57.66000,0.001737,109200,0.003396,-0.000374
92585,10/19/2015,ACWI,ISHARES TRUST,46428825,57.49000,-0.002948,109200,-0.000676,-0.002571
92585,10/20/2015,ACWI,ISHARES TRUST,46428825,57.39000,-0.001739,109200,-0.001174,0.000591
92585,10/21/2015,ACWI,ISHARES TRUST,46428825,57.08000,-0.005402,109200,-0.008023,-0.010896
92585,10/22/2015,ACWI,ISHARES TRUST,46428825,57.91000,0.014541,109200,0.013947,0.006561
92585,10/23/2015,ACWI,ISHARES TRUST,46428825,58.52000,0.010534,109200,0.009501,0.005942
92585,10/26/2015,ACWI,ISHARES TRUST,46428825,58.29000,-0.003930,109200,-0.002825,-0.005880
92585,10/27/2015,ACWI,ISHARES TRUST,46428825,57.97000,-0.005490,109200,-0.004480,-0.010869
92585,10/28/2015,ACWI,ISHARES TRUST,46428825,58.49000,0.008970,109200,0.013648,0.016551
92585,10/29/2015,ACWI,ISHARES TRUST,46428825,58.30000,-0.003248,109200,-0.002212,-0.005698
92585,10/30/2015,ACWI,ISHARES TRUST,46428825,58.07000,-0.003945,109200,-0.004004,-0.001220
92585,11/02/2015,ACWI,ISHARES TRUST,46428825,58.73000,0.011366,109200,0.012451,0.015205
92585,11/03/2015,ACWI,ISHARES TRUST,46428825,58.91000,0.003065,109200,0.003104,0.005968
92585,11/04/2015,ACWI,ISHARES TRUST,46428825,58.69000,-0.003735,109200,-0.003386,-0.002203
92585,11/05/2015,ACWI,ISHARES TRUST,46428825,58.57000,-0.002045,109200,-0.001399,-0.003211
92585,11/06/2015,ACWI,ISHARES TRUST,46428825,58.38000,-0.003244,109200,-0.000382,0.000609
92585,11/09/2015,ACWI,ISHARES TRUST,46428825,57.75000,-0.010791,109200,-0.009608,-0.009098
92585,11/10/2015,ACWI,ISHARES TRUST,46428825,57.80000,0.000866,109200,0.001288,-0.002459
92585,11/11/2015,ACWI,ISHARES TRUST,46428825,57.70000,-0.001730,109200,-0.004133,-0.006495
92585,11/12/2015,ACWI,ISHARES TRUST,46428825,57.00000,-0.012132,109200,-0.014502,-0.013508
92585,11/13/2015,ACWI,ISHARES TRUST,46428825,56.40500,-0.010439,109200,-0.009776,-0.005605
92585,11/16/2015,ACWI,ISHARES TRUST,46428825,57.17000,0.013563,109200,0.013745,0.006325
92585,11/17/2015,ACWI,ISHARES TRUST,46428825,57.19000,0.000350,109200,-0.001366,-0.004300
92585,11/18/2015,ACWI,ISHARES TRUST,46428825,57.86000,0.011715,109200,0.015275,0.009551
92585,11/19/2015,ACWI,ISHARES TRUST,46428825,58.01000,0.002592,109200,-0.000992,-0.000796
92585,11/20/2015,ACWI,ISHARES TRUST,46428825,58.14000,0.002241,107600,0.003009,0.002456
92585,11/23/2015,ACWI,ISHARES TRUST,46428825,57.91000,-0.003956,107600,-0.000675,0.002188
92585,11/24/2015,ACWI,ISHARES TRUST,46428825,57.96000,0.000863,107600,0.002369,0.005637
92585,11/25/2015,ACWI,ISHARES TRUST,46428825,58.01000,0.000863,107600,0.001164,0.005037
92585,11/27/2015,ACWI,ISHARES TRUST,46428825,57.92500,-0.001465,107600,0.000778,0.002117
92585,11/30/2015,ACWI,ISHARES TRUST,46428825,57.76000,-0.002849,107600,-0.003855,-0.000269
92585,12/01/2015,ACWI,ISHARES TRUST,46428825,58.33000,0.009868,107600,0.009517,0.006209
92585,12/02/2015,ACWI,ISHARES TRUST,46428825,57.74000,-0.010115,107600,-0.010720,-0.009451
92585,12/03/2015,ACWI,ISHARES TRUST,46428825,57.10000,-0.011084,107600,-0.014324,-0.010773
92585,12/04/2015,ACWI,ISHARES TRUST,46428825,57.92000,0.014361,107600,0.016445,0.004060
92585,12/07/2015,ACWI,ISHARES TRUST,46428825,57.42000,-0.008633,107600,-0.009784,-0.016412
92585,12/08/2015,ACWI,ISHARES TRUST,46428825,56.85000,-0.009927,107600,-0.006108,-0.004612
92585,12/09/2015,ACWI,ISHARES TRUST,46428825,56.55000,-0.005277,107600,-0.006595,-0.004325
92585,12/10/2015,ACWI,ISHARES TRUST,46428825,56.51000,-0.000707,107600,0.002048,0.002264
92585,12/11/2015,ACWI,ISHARES TRUST,46428825,55.42000,-0.019289,107600,-0.019831,-0.019476
92585,12/14/2015,ACWI,ISHARES TRUST,46428825,55.62000,0.003609,107600,0.001593,-0.009600
92585,12/15/2015,ACWI,ISHARES TRUST,46428825,56.17000,0.009889,107600,0.011304,0.010138
92585,12/16/2015,ACWI,ISHARES TRUST,46428825,57.15000,0.017447,107600,0.014891,0.013379
92585,12/17/2015,ACWI,ISHARES TRUST,46428825,56.36000,-0.013823,109000,-0.014593,-0.008157
92585,12/18/2015,ACWI,ISHARES TRUST,46428825,55.56000,-0.014194,109000,-0.015049,-0.005035
92585,12/21/2015,ACWI,ISHARES TRUST,46428825,55.31000,0.007688,109000,0.007143,0.004596
92585,12/22/2015,ACWI,ISHARES TRUST,46428825,55.74000,0.007774,109000,0.008829,0.007973
92585,12/23/2015,ACWI,ISHARES TRUST,46428825,56.54000,0.014352,110000,0.013673,0.016405
92585,12/24/2015,ACWI,ISHARES TRUST,46428825,56.47000,-0.001238,110000,-0.000830,0.001733
92585,12/28/2015,ACWI,ISHARES TRUST,46428825,56.30000,-0.003010,110000,-0.003325,-0.007470
92585,12/29/2015,ACWI,ISHARES TRUST,46428825,56.79000,0.009320,110000,0.010008,0.006100
92585,12/30/2015,ACWI,ISHARES TRUST,46428825,56.38000,-0.007220,110000,-0.007370,-0.006733
92585,12/31/2015,ACWI,ISHARES TRUST,46428825,55.82000,-0.009933,110000,-0.008191,-0.002012
92585,01/04/2016,ACWI,ISHARES TRUST,46428825,54.83000,-0.017736,110000,-0.014890,-0.012341
92585,01/05/2016,ACWI,ISHARES TRUST,46428825,54.87500,0.000821,110000,0.001398,0.000352
92585,01/06/2016,ACWI,ISHARES TRUST,46428825,54.05000,-0.015034,110000,-0.013804,-0.013465
92585,01/07/2016,ACWI,ISHARES TRUST,46428825,52.79000,-0.023312,110000,-0.023938,-0.024823
92585,01/08/2016,ACWI,ISHARES TRUST,46428825,52.18000,-0.011555,110000,-0.010912,-0.010285
92585,01/11/2016,ACWI,ISHARES TRUST,46428825,52.24000,0.001150,110000,-0.001722,-0.011470
92585,01/12/2016,ACWI,ISHARES TRUST,46428825,52.58000,0.006508,108200,0.006073,-0.002805
92585,01/13/2016,ACWI,ISHARES TRUST,46428825,51.51000,-0.020350,106600,-0.025830,-0.025340
92585,01/14/2016,ACWI,ISHARES TRUST,46428825,52.26000,0.014560,105600,0.015447,0.011806
92585,01/15/2016,ACWI,ISHARES TRUST,46428825,50.78000,-0.028320,105600,-0.021675,-0.021020
92585,01/19/2016,ACWI,ISHARES TRUST,46428825,51.08000,0.005908,104600,-0.002416,-0.011552
92585,01/20/2016,ACWI,ISHARES TRUST,46428825,50.26000,-0.016053,103600,-0.010598,-0.006020
92585,01/21/2016,ACWI,ISHARES TRUST,46428825,50.54000,0.005571,103600,0.005678,0.009719
92585,01/22/2016,ACWI,ISHARES TRUST,46428825,51.82000,0.025326,103600,0.022472,0.024274
92585,01/25/2016,ACWI,ISHARES TRUST,46428825,51.05000,-0.014859,103600,-0.016679,-0.015867
92585,01/26/2016,ACWI,ISHARES TRUST,46428825,51.90000,0.016650,103600,0.015922,0.016784
92585,01/27/2016,ACWI,ISHARES TRUST,46428825,51.47000,-0.008285,103600,-0.010544,-0.007902
92585,01/28/2016,ACWI,ISHARES TRUST,46428825,51.75000,0.005440,103600,0.005075,0.003101
92585,01/29/2016,ACWI,ISHARES TRUST,46428825,52.86000,0.021449,103600,0.024547,0.022994
