PERMNO,date,TICKER,COMNAM,CUSIP,HSICIG,PRC,RET,SHROUT,vwretd,ewretd
84398,30/09/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,114.13000,0.089470,697030,0.091518,0.096418
84398,29/10/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,118.49000,0.038202,690430,0.038531,0.040681
84398,30/11/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,118.49250,0.000021,678980,0.005108,0.010736
84398,31/12/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,125.75000,0.066757,723380,0.067150,0.068851
84398,31/01/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,128.67999,0.023300,743530,0.019157,0.014412
84398,28/02/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,133.14999,0.034737,683330,0.038165,0.037036
84398,31/03/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,132.59000,-0.000050,690280,0.003366,0.008605
84398,29/04/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,136.42999,0.028961,697980,0.028688,0.019203
84398,31/05/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,134.89999,-0.011215,676230,-0.014935,-0.018549
84398,30/06/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,131.97000,-0.017067,702880,-0.018395,-0.024106
84398,29/07/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,129.33000,-0.020005,706430,-0.022470,-0.021813
84398,31/08/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,122.22000,-0.054976,730980,-0.057472,-0.075715
84398,30/09/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,113.15000,-0.069097,715080,-0.084873,-0.100920
84398,31/10/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,125.50000,0.109147,697880,0.113977,0.107697
84398,30/11/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,124.99000,-0.004064,679780,-0.006226,-0.020645
84398,30/12/2011,SPY,SPDR S & P 500 E T F TRUST,78462F10,,125.50000,0.010242,694780,0.003702,-0.003561
84398,31/01/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,131.32001,0.046375,736680,0.054076,0.085342
84398,29/02/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,137.02000,0.043405,736680,0.041186,0.036494
84398,30/03/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,140.81000,0.032140,710732,0.023994,0.017608
84398,30/04/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,139.87000,-0.006676,739982,-0.006801,-0.009106
84398,31/05/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,131.47000,-0.060056,737982,-0.065531,-0.068434
84398,29/06/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,136.10500,0.040490,756432,0.038156,0.034188
84398,31/07/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,137.71001,0.011792,776882,0.010266,-0.003281
84398,31/08/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,141.16000,0.025053,765732,0.026265,0.024820
84398,28/09/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,143.97000,0.025428,834132,0.026539,0.034925
84398,31/10/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,141.35001,-0.018198,771382,-0.014101,-0.013477
84398,30/11/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,142.15500,0.005695,774432,0.006193,0.002790
84398,31/12/2012,SPY,SPDR S & P 500 E T F TRUST,78462F10,,142.41000,0.008982,868582,0.012531,0.021872
84398,31/01/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,149.70000,0.051190,852632,0.054094,0.063509
84398,28/02/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,151.61000,0.012759,808182,0.008332,0.003500
84398,28/03/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,156.67000,0.037951,829132,0.035274,0.031419
84398,30/04/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,159.67999,0.019212,824082,0.014945,0.002477
84398,31/05/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,163.44501,0.023579,848132,0.019067,0.023985
84398,28/06/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,160.42000,-0.013374,833282,-0.015039,-0.013012
84398,31/07/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,168.71001,0.051677,909882,0.052681,0.054898
84398,30/08/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,163.64999,-0.029992,835382,-0.025714,-0.017278
84398,30/09/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,168.00999,0.031763,868332,0.037477,0.051828
84398,31/10/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,175.78999,0.046307,901282,0.039852,0.025762
84398,29/11/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,181.00000,0.029638,901932,0.024947,0.023398
84398,31/12/2013,SPY,SPDR S & P 500 E T F TRUST,78462F10,,184.69000,0.025803,945832,0.026126,0.025242
84398,31/01/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,178.17999,-0.035248,861532,-0.029957,-0.001282
84398,28/02/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,186.28999,0.045516,848982,0.046173,0.044257
84398,31/03/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,187.00999,0.008291,847432,0.004469,0.001028
84398,30/04/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,188.31000,0.006952,847782,0.001661,-0.022319
84398,30/05/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,192.67999,0.023206,829282,0.020219,0.006647
84398,30/06/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,195.72000,0.020639,860882,0.027941,0.039501
84398,31/07/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,193.09000,-0.013438,893732,-0.020523,-0.035223
84398,29/08/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,200.71001,0.039464,857932,0.040186,0.033697
84398,30/09/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,197.02000,-0.013705,920532,-0.025129,-0.044988
84398,31/10/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,201.66000,0.023551,909532,0.021184,0.014199
84398,28/11/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,207.20000,0.027472,968282,0.021150,-0.002457
84398,31/12/2014,SPY,SPDR S & P 500 E T F TRUST,78462F10,,205.53999,-0.002534,1050482,-0.003616,-0.000190
84398,30/01/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,199.45000,-0.029629,917832,-0.027152,-0.019073
84398,27/02/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,210.66000,0.056205,920932,0.055948,0.054123
84398,31/03/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,206.42999,-0.015661,895932,-0.010439,-0.005112
84398,30/04/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,208.46001,0.009834,853082,0.008723,0.015127
84398,29/05/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,211.14000,0.012856,836332,0.010326,0.003962
84398,30/06/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,205.85001,-0.020176,840132,-0.019259,-0.013473
84398,31/07/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,210.50000,0.022589,849182,0.012095,-0.027144
84398,31/08/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,197.67000,-0.060950,840732,-0.059996,-0.047295
84398,30/09/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,191.63000,-0.025328,878782,-0.033738,-0.049922
84398,30/10/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,207.92999,0.085060,876332,0.073963,0.052873
84398,30/11/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,208.69000,0.003655,866082,0.002442,0.007333
84398,31/12/2015,SPY,SPDR S & P 500 E T F TRUST,78462F10,,203.87000,-0.017291,902532,-0.022257,-0.035887
84398,29/01/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,193.72079,-0.049783,893082,-0.057035,-0.074951
84398,29/02/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,193.56000,-0.000830,879832,0.000682,0.005557
84398,31/03/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,205.52000,0.067212,892782,0.070460,0.078191
84398,29/04/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,206.33080,0.003945,904932,0.011799,0.039834
84398,31/05/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,209.84000,0.017008,880582,0.014296,-0.000617
84398,30/06/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,209.47501,0.003400,846432,0.003123,0.005839
84398,29/07/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,217.12000,0.036496,911132,0.038740,0.049867
84398,31/08/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,217.38000,0.001198,911932,0.002787,0.013067
84398,30/09/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,216.30000,0.000010,919082,0.003016,0.015373
84398,31/10/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,212.55000,-0.017337,918932,-0.021590,-0.039941
84398,30/11/2016,SPY,SPDR S & P 500 E T F TRUST,78462F10,,220.38000,0.036838,948732,0.040415,0.050505
